SignId,Id,X,Y,Z,Retro,Angle,Distance,UTC,R,G,B,H,S,V,pX,pY,Unnamed: 17,COLOR
1,37931,33.787,-84.406,244.439,0.75,-0.209,7.956,66090.456,252,253,255,220,0.012,1,0.571,0.942,,WHITE
1,37984,33.787,-84.406,245.258,0.76,-0.106,7.843,66090.469,249,252,253,196,0.016,0.992,0.611,0.051,,WHITE
1,37985,33.787,-84.406,245.178,0.75,-0.117,7.84,66090.469,250,253,254,196,0.016,0.996,0.598,0.138,,WHITE
1,37986,33.787,-84.406,245.098,0.76,-0.127,7.842,66090.469,250,253,254,196,0.016,0.996,0.597,0.225,,WHITE
1,37987,33.787,-84.406,245.019,0.75,-0.137,7.84,66090.469,251,254,255,196,0.016,1,0.583,0.311,,WHITE
1,37988,33.787,-84.406,244.941,0.75,-0.148,7.831,66090.47,251,254,255,196,0.016,1,0.57,0.396,,WHITE
1,37989,33.787,-84.406,244.863,0.74,-0.158,7.828,66090.47,252,253,255,220,0.012,1,0.558,0.481,,WHITE
1,37990,33.787,-84.406,244.784,0.75,-0.168,7.825,66090.47,252,253,255,220,0.012,1,0.557,0.567,,WHITE
1,37991,33.787,-84.406,244.704,0.75,-0.178,7.831,66090.47,252,253,255,220,0.012,1,0.546,0.654,,WHITE
1,37992,33.787,-84.406,244.623,0.76,-0.189,7.842,66090.47,252,253,255,220,0.012,1,0.546,0.742,,WHITE
1,37993,33.787,-84.406,244.549,0.75,-0.199,7.825,66090.47,252,253,255,220,0.012,1,0.536,0.823,,WHITE
1,37994,33.787,-84.406,244.468,0.74,-0.209,7.837,66090.47,251,252,254,220,0.012,0.996,0.524,0.911,,WHITE
1,37995,33.787,-84.406,244.386,0.69,-0.219,7.85,66090.47,242,250,253,196,0.043,0.992,0.525,1,,WHITE
1,38051,33.787,-84.406,245.274,0.76,-0.107,7.716,66090.483,249,252,253,196,0.016,0.992,0.563,0.034,,WHITE
1,38052,33.787,-84.406,245.196,0.75,-0.117,7.71,66090.483,250,253,254,196,0.016,0.996,0.549,0.119,,WHITE
1,38053,33.787,-84.406,245.117,0.76,-0.127,7.711,66090.483,250,253,254,196,0.016,0.996,0.536,0.205,,WHITE
1,38054,33.787,-84.406,245.039,0.74,-0.137,7.715,66090.483,251,254,255,196,0.016,1,0.536,0.289,,WHITE
1,38055,33.787,-84.406,244.96,0.74,-0.148,7.717,66090.483,251,254,255,196,0.016,1,0.535,0.375,,WHITE
1,38056,33.787,-84.406,244.884,0.75,-0.158,7.709,66090.483,252,253,255,220,0.012,1,0.522,0.458,,WHITE
1,38057,33.787,-84.406,244.805,0.75,-0.168,7.715,66090.483,252,253,255,220,0.012,1,0.51,0.544,,WHITE
1,38058,33.787,-84.406,244.726,0.75,-0.178,7.72,66090.483,252,253,255,220,0.012,1,0.51,0.63,,WHITE
1,38059,33.787,-84.406,244.654,0.75,-0.189,7.694,66090.483,252,253,255,220,0.012,1,0.488,0.708,,WHITE
1,38060,33.787,-84.406,244.569,0.74,-0.199,7.731,66090.483,252,253,255,220,0.012,1,0.498,0.801,,WHITE
1,38061,33.787,-84.406,244.496,0.74,-0.209,7.712,66090.483,252,253,255,220,0.012,1,0.478,0.88,,WHITE
1,38062,33.787,-84.406,244.417,0.74,-0.22,7.72,66090.483,252,253,255,220,0.012,1,0.479,0.966,,WHITE
1,38118,33.787,-84.406,245.289,0.73,-0.107,7.603,66090.496,249,252,253,196,0.016,0.992,0.516,0.017,,WHITE
1,38119,33.787,-84.406,245.212,0.74,-0.117,7.601,66090.496,250,253,254,196,0.016,0.996,0.515,0.101,,WHITE
1,38120,33.787,-84.406,245.135,0.75,-0.127,7.598,66090.496,250,253,254,196,0.016,0.996,0.502,0.185,,WHITE
1,38121,33.787,-84.406,245.059,0.75,-0.137,7.593,66090.496,249,252,253,196,0.016,0.992,0.488,0.268,,WHITE
1,38122,33.787,-84.406,244.979,0.75,-0.148,7.609,66090.496,251,254,255,196,0.016,1,0.489,0.355,,WHITE
1,38123,33.787,-84.406,244.905,0.75,-0.158,7.593,66090.496,252,253,255,220,0.012,1,0.475,0.435,,WHITE
1,38124,33.787,-84.406,244.826,0.75,-0.168,7.609,66090.496,252,253,255,220,0.012,1,0.475,0.521,,WHITE
1,38125,33.787,-84.406,244.749,0.75,-0.178,7.608,66090.496,252,253,255,220,0.012,1,0.462,0.605,,WHITE
1,38126,33.787,-84.406,244.676,0.75,-0.189,7.594,66090.496,252,253,255,220,0.012,1,0.452,0.684,,WHITE
1,38127,33.787,-84.406,244.597,0.75,-0.199,7.604,66090.496,252,253,255,220,0.012,1,0.452,0.77,,WHITE
1,38128,33.787,-84.406,244.521,0.75,-0.209,7.604,66090.496,252,253,255,220,0.012,1,0.442,0.853,,WHITE
1,38129,33.787,-84.406,244.446,0.75,-0.22,7.603,66090.496,252,253,255,220,0.012,1,0.432,0.935,,WHITE
1,38188,33.787,-84.406,245.305,0.57,-0.106,7.49,66090.509,248,250,248,120,0.008,0.98,0.471,0,,WHITE
1,38189,33.787,-84.406,245.23,0.75,-0.117,7.478,66090.509,250,253,254,196,0.016,0.996,0.468,0.082,,WHITE
1,38190,33.787,-84.406,245.156,0.75,-0.127,7.467,66090.509,250,253,254,196,0.016,0.996,0.452,0.162,,WHITE
1,38191,33.787,-84.406,245.076,0.75,-0.137,7.492,66090.509,250,253,254,196,0.016,0.996,0.454,0.249,,WHITE
1,38192,33.787,-84.406,245.003,0.75,-0.148,7.477,66090.509,250,253,254,196,0.016,0.996,0.44,0.329,,WHITE
1,38193,33.787,-84.406,244.927,0.74,-0.158,7.479,66090.509,252,253,255,220,0.012,1,0.427,0.411,,WHITE
1,38194,33.787,-84.406,244.852,0.75,-0.168,7.477,66090.51,252,253,255,220,0.012,1,0.427,0.493,,WHITE
1,38195,33.787,-84.406,244.776,0.75,-0.178,7.478,66090.51,252,253,255,220,0.012,1,0.415,0.576,,WHITE
1,38196,33.787,-84.406,244.701,0.75,-0.189,7.482,66090.51,252,253,255,220,0.012,1,0.404,0.657,,WHITE
1,38197,33.787,-84.406,244.623,0.75,-0.199,7.492,66090.51,252,253,255,220,0.012,1,0.404,0.742,,WHITE
1,38198,33.787,-84.406,244.55,0.75,-0.209,7.486,66090.51,252,253,255,220,0.012,1,0.394,0.822,,WHITE
1,38199,33.787,-84.406,244.474,0.75,-0.219,7.491,66090.51,252,253,255,220,0.012,1,0.384,0.904,,WHITE
1,38200,33.787,-84.406,244.397,0.74,-0.23,7.499,66090.51,251,252,254,220,0.012,0.996,0.386,0.988,,WHITE
1,38253,33.787,-84.406,245.247,0.76,-0.117,7.363,66090.523,250,253,254,196,0.016,0.996,0.421,0.063,,WHITE
1,38254,33.787,-84.406,245.172,0.75,-0.127,7.366,66090.523,250,253,254,196,0.016,0.996,0.408,0.145,,WHITE
1,38255,33.787,-84.406,245.097,0.75,-0.137,7.367,66090.523,250,253,254,196,0.016,0.996,0.406,0.226,,WHITE
1,38256,33.787,-84.406,245.022,0.75,-0.148,7.371,66090.523,251,254,255,196,0.016,1,0.393,0.308,,WHITE
1,38257,33.787,-84.406,244.948,0.75,-0.158,7.366,66090.523,252,253,255,220,0.012,1,0.392,0.388,,WHITE
1,38258,33.787,-84.406,244.877,0.74,-0.168,7.348,66090.523,252,253,255,220,0.012,1,0.368,0.466,,WHITE
1,38259,33.787,-84.406,244.8,0.74,-0.178,7.364,66090.523,252,253,255,220,0.012,1,0.368,0.55,,WHITE
1,38260,33.787,-84.406,244.725,0.74,-0.189,7.369,66090.523,252,253,255,220,0.012,1,0.368,0.631,,WHITE
1,38261,33.787,-84.406,244.65,0.75,-0.199,7.371,66090.523,252,253,255,220,0.012,1,0.357,0.713,,WHITE
1,38262,33.787,-84.406,244.579,0.75,-0.209,7.362,66090.523,252,253,255,220,0.012,1,0.347,0.79,,WHITE
1,38263,33.787,-84.406,244.506,0.75,-0.22,7.361,66090.523,252,253,255,220,0.012,1,0.339,0.869,,WHITE
1,38264,33.787,-84.406,244.428,0.75,-0.23,7.381,66090.523,252,253,255,220,0.012,1,0.339,0.954,,WHITE
1,38316,33.787,-84.406,245.266,0.76,-0.117,7.238,66090.536,250,253,254,196,0.016,0.996,0.372,0.042,,WHITE
1,38317,33.787,-84.406,245.194,0.74,-0.127,7.228,66090.536,250,253,254,196,0.016,0.996,0.358,0.121,,WHITE
1,38318,33.787,-84.406,245.121,0.75,-0.137,7.225,66090.536,250,253,254,196,0.016,0.996,0.345,0.2,,WHITE
1,38319,33.787,-84.406,245.045,0.75,-0.148,7.245,66090.536,250,253,254,196,0.016,0.996,0.346,0.283,,WHITE
1,38320,33.787,-84.406,244.972,0.75,-0.158,7.24,66090.536,251,254,255,196,0.016,1,0.344,0.362,,WHITE
1,38321,33.787,-84.406,244.9,0.74,-0.168,7.238,66090.536,251,254,255,196,0.016,1,0.332,0.441,,WHITE
1,38322,33.787,-84.406,244.827,0.75,-0.178,7.235,66090.536,252,253,255,220,0.012,1,0.32,0.52,,WHITE
1,38323,33.787,-84.406,244.752,0.75,-0.189,7.249,66090.536,252,253,255,220,0.012,1,0.32,0.602,,WHITE
1,38324,33.787,-84.406,244.678,0.75,-0.199,7.255,66090.536,252,253,255,220,0.012,1,0.309,0.682,,WHITE
1,38325,33.787,-84.406,244.608,0.75,-0.209,7.244,66090.536,252,253,255,220,0.012,1,0.301,0.758,,WHITE
1,38326,33.787,-84.406,244.536,0.75,-0.22,7.241,66090.536,252,253,255,220,0.012,1,0.304,0.837,,WHITE
1,38327,33.787,-84.406,244.461,0.75,-0.23,7.254,66090.536,252,253,255,220,0.012,1,0.293,0.918,,WHITE
1,38380,33.787,-84.406,245.285,0.74,-0.117,7.116,66090.549,249,251,255,220,0.024,1,0.326,0.022,,WHITE
1,38381,33.787,-84.406,245.213,0.76,-0.127,7.116,66090.549,249,252,253,196,0.016,0.992,0.312,0.1,,WHITE
1,38382,33.787,-84.406,245.143,0.75,-0.137,7.106,66090.549,250,253,254,196,0.016,0.996,0.298,0.176,,WHITE
1,38383,33.787,-84.406,245.069,0.75,-0.147,7.114,66090.549,250,253,254,196,0.016,0.996,0.298,0.257,,WHITE
1,38384,33.787,-84.406,244.996,0.75,-0.158,7.12,66090.549,251,254,255,196,0.016,1,0.297,0.336,,WHITE
1,38385,33.787,-84.406,244.923,0.75,-0.168,7.125,66090.549,251,254,255,196,0.016,1,0.285,0.416,,WHITE
1,38386,33.787,-84.406,244.852,0.75,-0.178,7.124,66090.549,252,253,255,220,0.012,1,0.285,0.493,,WHITE
1,38387,33.787,-84.406,244.781,0.75,-0.189,7.12,66090.55,252,253,255,220,0.012,1,0.273,0.57,,WHITE
1,38388,33.787,-84.406,244.707,0.74,-0.199,7.132,66090.55,252,253,255,220,0.012,1,0.273,0.651,,WHITE
1,38389,33.787,-84.406,244.637,0.75,-0.209,7.129,66090.55,252,253,255,220,0.012,1,0.264,0.727,,WHITE
1,38390,33.787,-84.406,244.564,0.76,-0.219,7.136,66090.55,252,253,255,220,0.012,1,0.254,0.806,,WHITE
1,38391,33.787,-84.406,244.493,0.75,-0.23,7.134,66090.55,251,254,255,196,0.016,1,0.247,0.884,,WHITE
1,38448,33.787,-84.406,245.232,0.75,-0.127,6.994,66090.563,249,252,255,210,0.024,1,0.266,0.079,,WHITE
1,38449,33.787,-84.406,245.16,0.75,-0.137,6.999,66090.563,250,253,254,196,0.016,0.996,0.264,0.158,,WHITE
1,38450,33.787,-84.406,245.089,0.75,-0.148,6.998,66090.563,250,253,254,196,0.016,0.996,0.251,0.235,,WHITE
1,38451,33.787,-84.406,245.018,0.74,-0.158,7.001,66090.563,251,254,255,196,0.016,1,0.25,0.312,,WHITE
1,38452,33.787,-84.406,244.947,0.76,-0.168,7.005,66090.563,251,254,255,196,0.016,1,0.237,0.39,,WHITE
1,38453,33.787,-84.406,244.877,0.74,-0.178,7.001,66090.563,251,254,255,196,0.016,1,0.237,0.466,,WHITE
1,38454,33.787,-84.406,244.805,0.76,-0.189,7.009,66090.563,252,253,255,220,0.012,1,0.226,0.544,,WHITE
1,38455,33.787,-84.406,244.735,0.75,-0.199,7.007,66090.563,252,253,255,220,0.012,1,0.227,0.62,,WHITE
1,38456,33.787,-84.406,244.666,0.76,-0.209,7.005,66090.563,252,253,255,220,0.012,1,0.217,0.695,,WHITE
1,38457,33.787,-84.406,244.595,0.76,-0.219,7.009,66090.563,252,253,255,220,0.012,1,0.21,0.773,,WHITE
1,38458,33.787,-84.406,244.524,0.75,-0.23,7.012,66090.563,252,253,255,220,0.012,1,0.213,0.85,,WHITE
1,38515,33.787,-84.406,245.181,0.74,-0.137,6.871,66090.576,249,252,253,196,0.016,0.992,0.215,0.135,,WHITE
1,38516,33.787,-84.406,245.112,0.75,-0.148,6.873,66090.576,250,253,254,196,0.016,0.996,0.203,0.21,,WHITE
1,38517,33.787,-84.406,245.042,0.76,-0.158,6.875,66090.576,250,253,254,196,0.016,0.996,0.202,0.286,,WHITE
1,38518,33.787,-84.406,244.974,0.75,-0.168,6.869,66090.576,251,254,255,196,0.016,1,0.19,0.36,,WHITE
1,38519,33.787,-84.406,244.903,0.75,-0.178,6.877,66090.576,251,254,255,196,0.016,1,0.19,0.437,,WHITE
1,38520,33.787,-84.406,244.834,0.75,-0.189,6.873,66090.576,251,254,255,196,0.016,1,0.18,0.513,,WHITE
1,38521,33.787,-84.406,244.763,0.74,-0.199,6.885,66090.576,250,253,254,196,0.016,0.996,0.18,0.59,,WHITE
1,38522,33.787,-84.406,244.697,0.74,-0.209,6.874,66090.576,251,254,255,196,0.016,1,0.173,0.662,,WHITE
1,38523,33.787,-84.406,244.627,0.74,-0.219,6.88,66090.576,252,253,255,220,0.012,1,0.165,0.738,,WHITE
1,38524,33.787,-84.406,244.553,0.76,-0.23,6.899,66090.576,251,254,255,196,0.016,1,0.165,0.818,,WHITE
1,38583,33.787,-84.406,245.133,0.75,-0.147,6.758,66090.589,249,252,253,196,0.016,0.992,0.169,0.187,,WHITE
1,38584,33.787,-84.406,245.065,0.74,-0.158,6.755,66090.589,250,253,254,196,0.016,0.996,0.155,0.261,,WHITE
1,38585,33.787,-84.406,244.999,0.74,-0.168,6.745,66090.589,250,253,254,196,0.016,0.996,0.143,0.333,,WHITE
1,38586,33.787,-84.406,244.929,0.74,-0.178,6.759,66090.589,250,253,254,196,0.016,0.996,0.143,0.409,,WHITE
1,38587,33.787,-84.406,244.863,0.75,-0.189,6.748,66090.589,251,254,255,196,0.016,1,0.134,0.481,,WHITE
1,38588,33.787,-84.406,244.79,0.75,-0.199,6.771,66090.589,251,254,255,196,0.016,1,0.132,0.56,,WHITE
1,38589,33.787,-84.406,244.724,0.75,-0.209,6.767,66090.59,251,254,255,196,0.016,1,0.125,0.632,,WHITE
1,38590,33.787,-84.406,244.657,0.75,-0.219,6.762,66090.59,252,253,255,220,0.012,1,0.122,0.705,,WHITE
