Angle,B,COLOR,Distance,G,H,Id,R,Retro,S,SignId,UTC,Unnamed: 17,V,X,Y,Z,flag,pX,pY,x_cart,y_cart,z_cart
-0.13699999999999998,157,RED,8.475,158,2,45224,194,0.57,0.192,4,66092.00099999999,,0.7609999999999999,33.787,-84.406,245.179,0.0,0.727,0.128,-5074386.256671634,549817.6582464362,10134901.575462978
-0.158,172,RED,8.487,182,10,45226,231,0.52,0.255,4,66092.00099999999,,0.9059999999999999,33.787,-84.406,245.005,0.0,0.706,0.431,-5074386.117203304,549817.6432974135,10134901.47250128
-0.168,132,RED,8.502,136,4,45227,204,0.72,0.353,4,66092.00099999999,,0.8,33.787,-84.406,244.916,0.0,0.706,0.585,-5074386.045866052,549817.6356510743,10134901.41983696
-0.17800000000000002,126,RED,8.501,127,0,45228,195,0.69,0.353,4,66092.00099999999,,0.765,33.787,-84.406,244.831,0.0,0.6859999999999999,0.733,-5074385.977734974,549817.6283483908,10134901.36953958
-0.18899999999999997,129,WHITE,8.517000000000001,126,358,45229,199,0.63,0.369,4,66092.00099999999,,0.78,33.787,-84.406,244.74200000000002,0.0,0.6859999999999999,0.887,-5074385.906397723,549817.6207020516,10134901.31687526
-0.13699999999999998,121,RED,8.335,124,2,45289,188,0.72,0.35700000000000004,4,66092.01400000001,,0.737,33.787,-84.406,245.202,0.0,0.631,0.08900000000000001,-5074386.275107101,549817.6602224563,10134901.589072859
-0.14800000000000002,141,RED,8.329,149,10,45290,187,0.64,0.247,4,66092.01400000001,,0.733,33.787,-84.406,245.11900000000003,0.0,0.608,0.233,-5074386.208579105,549817.6530916007,10134901.539958945
-0.158,142,WHITE,8.34,140,358,45291,199,0.71,0.298,4,66092.01400000001,,0.78,33.787,-84.406,245.033,0.0,0.608,0.382,-5074386.139646483,549817.6457030034,10134901.489069829
-0.168,126,RED,8.351,134,6,45292,196,0.71,0.35700000000000004,4,66092.01400000001,,0.769,33.787,-84.406,244.946,0.0,0.608,0.5329999999999999,-5074386.069912316,549817.6382284921,10134901.437588979
-0.17800000000000002,128,RED,8.363999999999999,127,0,45293,194,0.7,0.345,4,66092.01400000001,,0.7609999999999999,33.787,-84.406,244.86,0.0,0.589,0.682,-5074386.0009796955,549817.6308398946,10134901.386699863
-0.18899999999999997,126,RED,8.371,128,2,45294,194,0.69,0.349,4,66092.01400000001,,0.7609999999999999,33.787,-84.406,244.774,0.0,0.588,0.8320000000000001,-5074385.93204707,549817.6234512972,10134901.335810747
-0.19899999999999998,135,WHITE,8.379,133,358,45295,196,0.7,0.322,4,66092.01400000001,,0.769,33.787,-84.406,244.688,0.0,0.568,0.981,-5074385.863114448,549817.6160626998,10134901.284921631
-0.13699999999999998,123,RED,8.185,123,0,45352,187,0.72,0.341,4,66092.02799999999,,0.733,33.787,-84.406,245.229,0.0,0.5329999999999999,0.042,-5074386.296748741,549817.6625421324,10134901.605049675
-0.14800000000000002,149,RED,8.193999999999999,151,4,45353,187,0.6,0.204,4,66092.02799999999,,0.733,33.787,-84.406,245.145,0.0,0.5329999999999999,0.188,-5074386.229419199,549817.6553253628,10134901.555344027
-0.168,212,RED,8.199,224,48,45355,227,0.66,0.067,4,66092.02799999999,,0.89,33.787,-84.406,244.97799999999998,0.0,0.511,0.47700000000000004,-5074386.0955616655,549817.6409777376,10134901.456524463
-0.17800000000000002,128,RED,8.187000000000001,134,6,45356,190,0.71,0.325,4,66092.02799999999,,0.745,33.787,-84.406,244.89700000000002,0.0,0.49,0.618,-5074386.030636754,549817.6340187097,10134901.408594016
-0.18899999999999997,126,RED,8.215,125,0,45357,192,0.68,0.349,4,66092.02799999999,,0.753,33.787,-84.406,244.80900000000003,0.0,0.49,0.7709999999999999,-5074385.960101046,549817.6264582846,10134901.356521435
-0.19899999999999998,151,RED,8.226,155,6,45358,198,0.58,0.239,4,66092.02799999999,,0.7759999999999999,33.787,-84.406,244.725,0.0,0.47,0.917,-5074385.892771507,549817.6192415148,10134901.306815784
-0.13699999999999998,119,RED,8.04,122,2,45415,191,0.72,0.376,4,66092.041,,0.7490000000000001,33.787,-84.406,245.253,0.0,0.439,0.0,-5074386.3159857495,549817.6646040665,10134901.619251288
-0.14800000000000002,117,RED,8.024,117,0,45416,188,0.62,0.376,4,66092.041,,0.737,33.787,-84.406,245.174,0.0,0.413,0.13699999999999998,-5074386.252663922,549817.6578168665,10134901.572504308
-0.158,220,RED,8.04,231,56,45417,232,0.64,0.051,4,66092.041,,0.91,33.787,-84.406,245.09,0.0,0.413,0.28300000000000003,-5074386.1853343835,549817.650600097,10134901.522798661
-0.168,127,RED,8.043,134,6,45418,198,0.66,0.35700000000000004,4,66092.041,,0.7759999999999999,33.787,-84.406,245.00799999999998,0.0,0.41200000000000003,0.425,-5074386.119607929,549817.6435551554,10134901.474276481
-0.17800000000000002,128,RED,8.046,148,14,45419,210,0.64,0.392,4,66092.041,,0.8240000000000001,33.787,-84.406,244.92700000000002,0.0,0.392,0.5660000000000001,-5074386.054683017,549817.6365961274,10134901.426346034
-0.18899999999999997,131,RED,8.068,132,0,45420,193,0.66,0.322,4,66092.041,,0.757,33.787,-84.406,244.84099999999998,0.0,0.392,0.715,-5074385.985750394,549817.6292075301,10134901.375456918
-0.19899999999999998,141,RED,8.071,140,0,45421,207,0.68,0.325,4,66092.041,,0.812,33.787,-84.406,244.76,0.0,0.37200000000000005,0.856,-5074385.92082548,549817.6222485023,10134901.327526473
-0.209,147,RED,8.08,158,12,45422,201,0.52,0.271,4,66092.041,,0.7879999999999999,33.787,-84.406,244.67700000000002,0.0,0.373,1.0,-5074385.854297483,549817.6151176466,10134901.278412558
-0.14800000000000002,113,RED,7.875,115,2,45478,189,0.72,0.40399999999999997,4,66092.054,,0.741,33.787,-84.406,245.201,0.0,0.315,0.09,-5074386.27430556,549817.6601365425,10134901.588481124
-0.158,118,RED,7.888999999999999,118,0,45479,195,0.71,0.396,4,66092.054,,0.765,33.787,-84.406,245.11900000000003,0.0,0.315,0.233,-5074386.208579105,549817.6530916007,10134901.539958945
-0.168,182,WHITE,7.89,179,346,45480,191,0.72,0.063,4,66092.054,,0.7490000000000001,33.787,-84.406,245.03900000000002,0.0,0.314,0.37200000000000005,-5074386.144455735,549817.646218487,10134901.492620233
-0.17800000000000002,151,RED,7.904,153,2,45481,205,0.56,0.263,4,66092.054,,0.804,33.787,-84.406,244.957,0.0,0.294,0.514,-5074386.078729281,549817.6391735453,10134901.444098052
-0.18899999999999997,149,WHITE,7.912999999999999,141,352,45482,198,0.66,0.28600000000000003,4,66092.054,,0.7759999999999999,33.787,-84.406,244.87599999999998,0.0,0.294,0.655,-5074386.01380437,549817.6322145173,10134901.396167606
-0.19899999999999998,139,RED,7.9239999999999995,140,2,45483,195,0.56,0.28600000000000003,4,66092.054,,0.765,33.787,-84.406,244.794,0.0,0.294,0.797,-5074385.948077913,549817.6251695756,10134901.347645424
-0.209,124,RED,7.905,127,2,45484,194,0.72,0.361,4,66092.054,,0.7609999999999999,33.787,-84.406,244.718,0.0,0.259,0.929,-5074385.887160713,549817.6186401175,10134901.302673649
-0.14800000000000002,119,WHITE,7.735,115,356,45544,186,0.72,0.38,4,66092.068,,0.7290000000000001,33.787,-84.406,245.227,0.0,0.24,0.045,-5074386.295145655,549817.6623703047,10134901.603866206
-0.158,118,RED,7.732,119,0,45545,193,0.71,0.38799999999999996,4,66092.068,,0.757,33.787,-84.406,245.149,0.0,0.218,0.18100000000000002,-5074386.23262537,549817.6556690184,10134901.557710964
-0.168,197,RED,7.732,216,26,45546,240,0.7,0.18,4,66092.068,,0.941,33.787,-84.406,245.071,0.0,0.19699999999999998,0.316,-5074386.170105083,549817.6489677324,10134901.511555716
